"213,Zu LuL,""Nice scam app , asking for money to speak to others..."",1,0,16-02-2022 21:38,Tinder";;
"214,A D,""Cant even log in. At random you stop receiving sms verification code and thats it, good luck when and/or if you'll get your code. Sure you can log in with your email but of course lets send another sms verification code to the phone number thats not receiving the codes to beging with rendering the option worthless. Great!"",1,0,16-02-2022 21:38,Tinder";;
"215,N Lva,""Full of bots, ppl who hide they have 3 kids, married, fake profiles with pics of celebs or men who look like they never had a shower in their life. My profile were banned for no reason after it asked me to verify im human?! CS unreachable. Seriously, avoid."",1,0,16-02-2022 21:36,Tinder";;
216,Marvin Vincent,Nice,4,0,16-02-2022 21:19,Tinder;;
217,Made In Britain,Yes I keep editing this because only way to get anything through to you guys. Had my card info stolen and had few charges on it and will only refund me for one of the charges. What a joke.,1,3,16-02-2022 21:17,Tinder;;
218,Ntombi Magagula,It is user friendly and safe,5,0,16-02-2022 21:09,Tinder;;
"219,Vladimirs Kacs,""I have made 2 """"matches"""" (not likes- matches) but they are not displayed. Fix your app!"",1,0,16-02-2022 21:07,Tinder";;
220,Jestin Joseph 47,Gud,5,0,16-02-2022 21:02,Tinder;;
221,Muhamad El Sersy,Great,5,0,16-02-2022 20:44,Tinder;;
222,Rose Houston,Uh yeah hey who ever reads these 🙄🙄 just finishing making my account and I got banned. I assume it's because I've made an account before but I was underage :| not even by anything it was an hour before it turned to my bday so whatever 🙄 but yes this is annoying as all hell. I was trying to meet new folks. It would be really dope if I could I dunno get my account back or something. Anyways 1 star PS. Not enough goth baddies tbh,1,0,16-02-2022 20:25,Tinder;;
"223,Owen x,""This app is garbage. I've seen less fake accounts on other apps... Also, """"report and unmatch"""" is the first option now, rather than unmatch. Says a lot about their industry"",1,0,16-02-2022 20:21,Tinder";;
"224,Kenzie Chenault,""I don't know why, but apparently I'm banned on here for some reason. Wanna try to use this app again, but can't I guess. Edit: I still don't know why I'm banned?!?!?!"",1,2,16-02-2022 20:14,Tinder";;
225,Bernard Ogello,Excellent,5,0,16-02-2022 20:02,Tinder;;
"226,Mayur sinha,""After using this app for over a month, i have never felt so unwanted in my life. No matches at all 😂😂😂. I am feeling emotionally damaged.."",1,0,16-02-2022 19:44,Tinder";;
227,MATTYBOY games and tutorials,I just love how you get the same people over and over again when out of people. Don't waste our matches and then expect us to get tinder gold. Makes no sense.,2,0,16-02-2022 19:40,Tinder;;
228,REAP3R 4X4,I get notified that I have a match then it just does a infinite loading screen and then my match just disappears from existence,1,0,16-02-2022 19:39,Tinder;;
229,Shehu Suleiman,Cool,4,0,16-02-2022 19:38,Tinder;;
230,Amit Ojha,Very bad,1,0,16-02-2022 19:18,Tinder;;
"231,Hero Thegreatadventure,""Full of people that macth with u and don't text back, like there's no point to macthing on here and it's full of scammers don't try tinder"",1,0,16-02-2022 19:17,Tinder";;
"232,Vladimir Kln,""BE CAREFUL!!!! Auto-Renewal";" Automatic Card Payment After your initial subscription commitment period, your subscription will automatically continue for an additional equivalent period, at the price you agreed to when subscribing. Your card payment information will be stored and subsequently"",2,0,16-02-2022 19:09,Tinder";
"233,jacob birch,""The one issue I wanted to bring up, can you remove needing to add Instagram and Spotify to my account to have a complete account? I can't even verify my photos until it's complete and I don't even use spotify."",3,0,16-02-2022 19:03,Tinder";;
234,Chris Khalil,If i could give this app a 0 i would. Ive been using tinder for so long. Subscribed for platinum and all. All of the sudden one day ive been banned for no reason and i cant make a new account with my phone number or emails. What the f***,1,0,16-02-2022 18:58,Tinder;;
235,Raymond Nunez,Tinder has gone downhill tremendously. It seems as if they know it and are charging for everything they can now. So many fake profiles and scams. Do yourself a favor and save your time and money.,1,0,16-02-2022 18:56,Tinder;;
236,philip desmond,Good,5,0,16-02-2022 18:46,Tinder;;
"237,A Lopez,""I just logged in as a premium member, and i guess these guys are messing with the application again, because I just lost all my likes and i see matches from over a year ago haha, my about me info all got erased, all the money they have and they can't develop a decent application after all these years, billionaires haha. And they don't want you to contact them for help. Got a feeling they are going to eventually piss off the wrong customer. Waiting for the day. 😆"",1,0,16-02-2022 18:43,Tinder";;
238,Chun Yom,Trash,1,0,16-02-2022 18:39,Tinder;;
239,Awais Ovi,Good but not great...,4,0,16-02-2022 18:32,Tinder;;
240,Ugochukwu Anoke Levi,Good,5,0,16-02-2022 18:32,Tinder;;
241,Mahdi Dheouaoui,Хорошо,5,0,16-02-2022 18:18,Tinder;;
242,Josh Campbell,Full of fake accounts as well as when someone matches you it doesn't load through Poor customer service There is mainly Feet pic scams and other bs on here cops will prey on people posing as prostitutes be careful they are frauds at tinder when you pay for gold you will still see people over 400 miles away even though you limit it to 5 miles. Not only that the matches I do get never load through only bot accounts do. DO NOT PAY THESE SCAM ARTISTS A SINGLE PENNY IF BOOSTS AND MATCHES DONT WORK.,1,5,16-02-2022 18:10,Tinder;;
"243,Kaylan Taylor,""For some reason I can't delete my account. Emailed the company about 10 days ago, still have radio silence."",1,0,16-02-2022 18:07,Tinder";;
244,melchor carduce,Nice app,5,0,16-02-2022 17:56,Tinder;;
"245,Luis Rascon,""Tinders a scam, you pay for it and still doesn't show you anything, just steals from you. I recommend not wasting your money."",1,0,16-02-2022 16:46,Tinder";;
246,MONTELL Williams,Did get to know someone that is really kind❤️🧡💛💚💙💜🖤,5,0,16-02-2022 16:41,Tinder;;
247,John Power,Not a good app. Only get to swipe every 24hrs. Most do between 1 - 6hrs time frames. And they want you to pay to see who likes you. Total rip off as most are outside the area frame that you are looking for. Starting to become like Bumble.,1,0,16-02-2022 16:41,Tinder;;
248,Justine McCalister,Why am i banned when this is my first time making an account?,1,0,16-02-2022 16:16,Tinder;;
249,Mayhhl jj,Service is terrible. They do not rush to support users with login issues. Even though I was paying Gold user. App is terribly built as well. Every time it is minimized it restarts and you loose what ever was entered or setup done half way.,1,0,16-02-2022 16:12,Tinder;;
250,Camilla Atieno,Amazing app,5,0,16-02-2022 15:43,Tinder;;
251,Melbin Kannamkuzhiyil,You removed my only match without any reason. I was building a good healthy relationship with her. But one day i coudnt find her in my friends list. Not fair. #justiceforWandanaMelbin,1,0,16-02-2022 15:26,Tinder;;
"252,Herminisa Galay,""haha so tantan and tinder are twins? now a days the developer looks like money. what about people without money? if you just make fake reviews, stop that. you scammer will die soon."",1,0,16-02-2022 15:24,Tinder";;
253,Kyary Pamyu Pamyu,Banyak gif yg mengandung unsur SARA dan ujaran kebencian (hate speech) serta fitnah.,1,0,16-02-2022 15:11,Tinder;;
254,Elvis Moyo,Good app,5,0,16-02-2022 15:08,Tinder;;
"255,je_ temme,""Fürchterliche 'Kundenbetreuung'. Mehrmals angeschrieben, immer nur die selbe CopyPaste Nachricht bekommen. Kann man total vergessen."",1,0,16-02-2022 14:57,Tinder";;
256,Swansea Designs,Totally Scam. Money Looting easily. Govt should Banned 🚫. Show some mercy to people. Tinder chod.,1,0,16-02-2022 14:53,Tinder;;
257,Angel Loeza,SOO MANY BOTS & ITS GETTING WORSE,2,0,16-02-2022 14:50,Tinder;;
258,Art Zimmerman,Fees are ridiculous,1,0,16-02-2022 14:18,Tinder;;
259,Natasha Mulenga,Am loving the app,1,0,16-02-2022 14:05,Tinder;;
260,Saidu Muhammad,Good,3,0,16-02-2022 14:02,Tinder;;
261,Adigun Adebiyi,Trying,5,0,16-02-2022 13:53,Tinder;;
"262,KS O'hara,""Made an account, signed up for Tinder plus ($30), had zero matches, no nude photos or explicit language in bio. Account banned within an hour of signing up. Lost $30"",1,0,16-02-2022 13:52,Tinder";;
"263,Chinaza Jane,""It's a nice app that connect people together, but the management should consider verifying people fast"",4,0,16-02-2022 13:49,Tinder";;
264,Niella Abelarde,Yeah am Having problems abt this app. I'm hoping they would remove the payment at least? Its kinda Annoying when u can't see the one who likes u.,1,0,16-02-2022 13:41,Tinder;;
"265,shawnna merrick,""I got banned from this app because there was a misunderstanding. I guess someone banned me because all I said """"people said I look 17"""" and at the time I was 19. Then when I retry to login, it said I wasn't old enough, I'm over the age of 18."",1,0,16-02-2022 13:33,Tinder";;
266,Ermalizal Ahmad Zuhdi,I enjoyed meeting friends and sharing thoughts. but i just got banned. can u check it for me,1,0,16-02-2022 13:28,Tinder;;
267,Peter,U people are thife after i paid yesterday and u peolle block me today very bad bad tinder thife,1,0,16-02-2022 13:21,Tinder;;
268,Lauren Clark,Won't load my new photos at all. Very frustrating.,1,0,16-02-2022 13:09,Tinder;;
"269,Ezenne Cynthia A.,""Please y'all should add verve debit card as also a means for payment or maybe pay stack, I want to upgrade for premium but I can't because I have a verve debit card Please do something about this"",1,0,16-02-2022 13:05,Tinder";;
270,Dima Al Haj,I've been banned and I would like to know why and how can i reinstate my account,4,0,16-02-2022 12:43,Tinder;;
271,harry Potter zoms vs poms,Been fun and adventures honestly,5,0,16-02-2022 12:39,Tinder;;
272,Bibekananda choudhury,Faltu app,1,0,16-02-2022 12:31,Tinder;;
273,sachu jp,My account is blocked I don't know for what you blocked me,1,0,16-02-2022 12:13,Tinder;;
274,John,Reliable,5,0,16-02-2022 12:12,Tinder;;
275,Ermal Cara,AMAZING,5,0,16-02-2022 11:58,Tinder;;
276,Milan Milosevic,Change my life!,5,0,16-02-2022 11:58,Tinder;;
277,Frank Ebube,The best,5,0,16-02-2022 11:52,Tinder;;
278,Allison,Not bad,4,0,16-02-2022 11:44,Tinder;;
"279,Jace Franci,""My likes are sitting at zero. I have Gold and changed my location to a city 800kms away cause I'm traveling there soon. How after 2 days have I not gotten a single like? Not 1. So did I pay for a feature that doesn't even work? This app is complete trash and will be getting a refund, charged $42 for a a service that does LESS than the unpaid version. Tinder is a scam, don't bother with it."",1,0,16-02-2022 11:42,Tinder";;
280,Ezra Wijaya,Good one app,4,0,16-02-2022 11:29,Tinder;;
281,Rich Keed,Boom,5,0,16-02-2022 11:22,Tinder;;
282,Scotchmints,Got banned for no reason. I open up my app and this is.. About a week after buying the unlimited liking option. And im banned. I went through the rules and i hadnt broken a single one and there is literally no way of appealing the ban. So ive just been scammed out of 15 dollars. Dont download tinder they are just a bunch of scammers.,1,0,16-02-2022 11:20,Tinder;;
283,First Name Last Name,They delete your review if you talk about the glitches that make this app such a piece of garbage,1,0,16-02-2022 11:18,Tinder;;
284,Sasha Mwangi,Not able to read messages no new match,1,0,16-02-2022 11:06,Tinder;;
285,sahil kaundal,Improve your app.,2,0,16-02-2022 10:51,Tinder;;
"286,Real Estate Agent,""Even though I'm a paying customer, they banned me right after my subscription ran out. And they didn't even warn me or tell me why I was banned. If someone doesn't like your sexuality or race or something they can get you banned and tinder doesn't even review it. Super racist, sexist, and bullying site. Anyone can get anyone banned if they have multiple accounts to gang up on the person. It takes about 5 minutes."",1,0,16-02-2022 10:51,Tinder";;
287,Jazmine Easterling,I downloaded it yesterday evening. I went to check my status just now and I've been banned for no reason at all.,1,0,16-02-2022 10:49,Tinder;;
288,Emad Life,Good,5,0,16-02-2022 10:47,Tinder;;
"289,Austin B,""A deplorable app the preys on people to spend money to get """"more matches."""" Really toxic app overall."",1,0,16-02-2022 10:41,Tinder";;
290,K Rahil,Good,5,0,16-02-2022 10:36,Tinder;;
291,Darlene Punimata,I think this sucks as it says $9.99 ended up paying more than $174 and they keep billing and taking money out of my account and im trying to do the instructions nothing works. This is just terrible😔,1,0,16-02-2022 10:15,Tinder;;
292,Matt R,Extremely pricey! The app is pretty much useless unless you're paying money. Just about everything cost money in this app.,1,0,16-02-2022 10:09,Tinder;;
293,Ijaz Khan,Very nice and good app 👍,5,0,16-02-2022 10:08,Tinder;;
294,Tagbo Veronica,This app is well organized,5,0,16-02-2022 10:03,Tinder;;
295,Armonee Benjamin,It's good! Better than most I've been on. Just don't like that you gotta pay to send certain type of messages. Other than that... It's pretty good!,4,0,16-02-2022 09:59,Tinder;;
296,G orv Singh,Useless app don't download,1,0,16-02-2022 09:58,Tinder;;
297,Khosro Shahviri,I wish I could give it less than one score and I wish I'd given that money to a charity or something...,1,0,16-02-2022 09:58,Tinder;;
298,DaMonkPlays,Endless swiping with little to no matches. only One or two of those who match out of 10 respond like actual humans. The rest disappear within the hour or never respond. Their profiles never change like they are dead or fake accounts.,1,0,16-02-2022 09:51,Tinder;;
299,Akash Narvaria,So many fake profiles here.... Please ban unverified peoples,2,0,16-02-2022 09:49,Tinder;;
300,A Google user,Ups and downs but overall entertaining,5,0,16-02-2022 09:46,Tinder;;
"301,Da Bird,""I feel like everyone is fake, nothing but bots in this app."",1,0,16-02-2022 09:45,Tinder";;
302,Nkunka Chanda,It's a perfect app but just the issue of blocking people you should ✋ STOP it's not good to block people over pity things.thank you,5,0,16-02-2022 09:35,Tinder;;
303,Darling Darling,Fake app,1,0,16-02-2022 09:14,Tinder;;
304,TheEddyeB,Ok,5,0,16-02-2022 09:11,Tinder;;
305,A Google user,5 super likes every week is not working. Everyday was far better. I m a regular user of tinder platinum. I m ok with the prices. But not 5 super like per week. Help out with these and you have got my attention. I m switching to bumble,1,0,16-02-2022 09:11,Tinder;;
